START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
10/14/2016,7:00 PM,9:00 PM,Edmonton at Calgary,Scotiabank Saddledome - Calgary - AB, ,10/14/2016,10/15/2016,10:00 PM,12:00 AM,FALSE,TRUE,10/14/2016,6:00 PM,8:00 PM,FREE,BUSY
10/18/2016,7:00 PM,9:00 PM,Buffalo at Calgary,Scotiabank Saddledome - Calgary - AB, ,10/18/2016,10/19/2016,10:00 PM,12:00 AM,FALSE,TRUE,10/18/2016,6:00 PM,8:00 PM,FREE,BUSY
10/20/2016,7:00 PM,9:00 PM,Carolina at Calgary,Scotiabank Saddledome - Calgary - AB, ,10/20/2016,10/21/2016,10:00 PM,12:00 AM,FALSE,TRUE,10/20/2016,6:00 PM,8:00 PM,FREE,BUSY
10/22/2016,8:00 PM,10:00 PM,St Louis at Calgary,Scotiabank Saddledome - Calgary - AB, ,10/22/2016,10/23/2016,11:00 PM,1:00 AM,FALSE,TRUE,10/22/2016,7:00 PM,9:00 PM,FREE,BUSY
10/28/2016,7:00 PM,9:00 PM,Ottawa at Calgary,Scotiabank Saddledome - Calgary - AB, ,10/28/2016,10/29/2016,10:00 PM,12:00 AM,FALSE,TRUE,10/28/2016,6:00 PM,8:00 PM,FREE,BUSY
10/30/2016,7:30 PM,9:30 PM,Washington at Calgary,Scotiabank Saddledome - Calgary - AB, ,10/30/2016,10/31/2016,10:30 PM,12:30 AM,FALSE,TRUE,10/30/2016,6:30 PM,8:30 PM,FREE,BUSY
11/10/2016,7:00 PM,9:00 PM,Dallas at Calgary,Scotiabank Saddledome - Calgary - AB, ,11/10/2016,11/11/2016,10:00 PM,12:00 AM,FALSE,TRUE,11/10/2016,6:00 PM,8:00 PM,FREE,BUSY
11/12/2016,8:00 PM,10:00 PM,Ny Rangers at Calgary,Scotiabank Saddledome - Calgary - AB, ,11/12/2016,11/13/2016,11:00 PM,1:00 AM,FALSE,TRUE,11/12/2016,7:00 PM,9:00 PM,FREE,BUSY
11/16/2016,8:00 PM,10:00 PM,Arizona at Calgary,Scotiabank Saddledome - Calgary - AB, ,11/16/2016,11/17/2016,11:00 PM,1:00 AM,FALSE,TRUE,11/16/2016,7:00 PM,9:00 PM,FREE,BUSY
11/18/2016,7:00 PM,9:00 PM,Chicago at Calgary,Scotiabank Saddledome - Calgary - AB, ,11/18/2016,11/19/2016,10:00 PM,12:00 AM,FALSE,TRUE,11/18/2016,6:00 PM,8:00 PM,FREE,BUSY
